"count","slice_num","gene","coord_x","coord_y"
3,29,"Slc17a7",3.49896984762077,5.86153684999949
1,29,"Slc17a7",4.30639313338614,5.97378654264635
1,29,"Slc17a7",3.48621498294812,5.857719001901
1,29,"Pvalb",3.77923526651138,5.92536014229413
3,29,"Slc17a7",3.77923526651138,5.92536014229413
1,29,"Pvalb",1.89143930767171,4.35063967352312
2,29,"Slc17a7",1.89143930767171,4.35063967352312
1,29,"Slc17a7",2.10814920557142,4.63837043619206
1,29,"Slc17a7",7.83276536582964,5.82999233766015
1,29,"Pvalb",2.03017179020435,4.134549148954
1,29,"Vip",2.03017179020435,4.134549148954
1,29,"Slc17a7",7.77784178557076,5.84343409184279
1,29,"Slc17a7",2.02155649996702,4.14430103310076
1,29,"Pvalb",7.54527586043343,5.93193110938732
2,29,"Slc17a7",7.54527586043343,5.93193110938732
1,29,"Slc17a7",3.71743730013413,5.92119835033246
1,29,"Pvalb",7.86154202869827,5.81415470026279
1,29,"Vip",7.86154202869827,5.81415470026279
1,29,"Pvalb",3.61051962855662,4.86183167185606
19,29,"Slc17a7",3.61051962855662,4.86183167185606
5,29,"Slc17a7",4.39825157484872,5.94961420011969
2,29,"Slc17a7",1.96848307643187,4.43334793082441
1,29,"Tac2",9.26465185672393,3.11809278949068
1,29,"Slc17a7",9.26465185672393,3.11809278949068
1,29,"Slc17a7",6.68830117606195,5.96582545042213
1,29,"Pvalb",6.78529209404724,6.07093161914339
1,29,"Slc17a7",6.78529209404724,6.07093161914339
1,29,"Tac2",2.00472496703724,4.29676623364335
3,29,"Slc17a7",2.00472496703724,4.29676623364335
1,29,"Pvalb",8.44327056468399,5.48479917171592
2,29,"Slc17a7",8.44327056468399,5.48479917171592
1,29,"Slc17a7",6.71113794063976,5.97032901269517
1,29,"Slc17a7",6.74532068298675,5.99102190652373
5,29,"Slc17a7",1.8644997380007,4.21424208686584
2,29,"Slc17a7",2.21179352038116,3.17992846290613
10,29,"Slc17a7",9.3000760838835,4.37629345026889
1,29,"Slc17a7",9.03419030897732,4.67892358606045
1,29,"Slc17a7",9.11062565512538,3.06789961409074
1,29,"Vip",9.01899006074135,3.08389173520783
1,29,"Vip",2.60128518341153,5.3464448511576
1,29,"Slc17a7",9.00695973409019,3.09348504125575
1,29,"Tac2",9.32106885292881,3.09308826225094
1,29,"Slc17a7",9.32106885292881,3.09308826225094
1,29,"Tac2",4.29550254704911,5.97139945786135
1,29,"Slc17a7",4.29550254704911,5.97139945786135
9,29,"Slc17a7",9.29806495398405,3.00429002235428
3,29,"Pvalb",4.16975971316025,5.90536830106856
1,29,"Slc17a7",4.16975971316025,5.90536830106856
1,29,"Vip",7.04966262278761,6.01742819295528
