"count","bin","celltype","gene","mouse","cell_num","hemisphere","age"
1,61,"GABA","BCL11B","1","1527462100175100165","left","12"
0,60,"Glut","BCL11B","1","1527462100175100174","left","12"
0,60,"Glut","BCL11B","1","1527462100175100176","left","12"
0,60,"Glut","BCL11B","1","1527462100175100179","left","12"
0,60,"Glut","BCL11B","1","1527462100175100181","left","12"
0,59,"Glut","BCL11B","1","1527462100175100187","left","12"
4,58,"Glut","BCL11B","1","1527462100175100190","left","12"
1,59,"Glut","BCL11B","1","1527462100175100199","left","12"
0,58,"GABA","BCL11B","1","1527462100175100202","left","12"
1,56,"Glut","BCL11B","1","1527462100175100215","left","12"
1,57,"GABA","BCL11B","1","1527462100175100224","left","12"
0,55,"Glut","BCL11B","1","1527462100175100231","left","12"
1,56,"Glut","BCL11B","1","1527462100175100233","left","12"
0,56,"Glut","BCL11B","1","1527462100175100242","left","12"
2,55,"Glut","BCL11B","1","1527462100175100248","left","12"
1,54,"Glut","BCL11B","1","1527462100175100249","left","12"
2,53,"Glut","BCL11B","1","1527462100175100250","left","12"
